metric,method,band,n_complete_seizures,n_subjects,model_type,slope_per_minute,statistic,p_uncorrected,p_fdr_bh,skip_reason,fallback_reason
clustering_coefficient,coherence,delta,159,24,linear_mixed_effects_subject_random_intercept_seizure_vc,-0.001787208893777951,-2.761945597605596,0.005745805151796834,0.1986693059877965,,
clustering_coefficient,coherence,theta,159,24,linear_mixed_effects_subject_random_intercept_seizure_vc,-0.0015730766141058546,-2.8265387017786354,0.004705405767758918,0.1986693059877965,,
clustering_coefficient,wpli,alpha1,159,24,linear_mixed_effects_subject_random_intercept_seizure_vc,0.0007801364223402402,0.962956314662322,0.33556944673732947,0.6727203453817511,,
clustering_coefficient,wpli,alpha2,159,24,linear_mixed_effects_subject_random_intercept_seizure_vc,0.0009424680994708686,1.1202968635476702,0.26258727818999916,0.6727203453817511,,
clustering_coefficient,wpli,beta1,159,24,linear_mixed_effects_subject_random_intercept_seizure_vc,-0.0014503592866187077,-1.7343541830164333,0.08285525915733341,0.5187459703763483,,
clustering_coefficient,wpli,beta2,159,24,linear_mixed_effects_subject_random_intercept_seizure_vc,-0.000371620174379803,-0.443436915088023,0.6574497397631318,0.8363138549535307,,
clustering_coefficient,wpli,delta,159,24,linear_mixed_effects_subject_random_intercept_seizure_vc,0.0008431010565029509,0.8488886965952055,0.3959432291244168,0.6811678346602391,,
clustering_coefficient,wpli,theta,159,24,linear_mixed_effects_subject_random_intercept_seizure_vc,-0.0008599531921534317,-0.8723683635768592,0.38300745360591026,0.6727203453817511,,
global_efficiency,aec,alpha1,159,24,linear_mixed_effects_subject_random_intercept_seizure_vc,-0.00034911005549296756,-0.9263308930865791,0.3542740458940321,0.6727203453817511,,
global_efficiency,aec,alpha2,159,24,linear_mixed_effects_subject_random_intercept_seizure_vc,-8.895854344717644e-07,-0.003218834409837495,0.9974317461555118,0.9974317461555118,,
global_efficiency,aec,beta1,159,24,linear_mixed_effects_subject_random_intercept_seizure_vc,-3.922350502872655e-05,-0.1444102904189415,0.8851764914051043,0.9374566289872778,,
global_efficiency,aec,beta2,159,24,linear_mixed_effects_subject_random_intercept_seizure_vc,0.0002590263214031404,0.9399062020336744,0.3472656757699796,0.6727203453817511,,
global_efficiency,aec,delta,159,24,linear_mixed_effects_subject_random_intercept_seizure_vc,0.0007589404421513847,1.7582050455558853,0.07871262705308174,0.5187459703763483,,
