metric,method,band,n_complete_seizures,n_subjects,model_type,test_name,statistic,df1,df2,p_uncorrected,p_fdr_bh,effect_size,skip_reason,fallback_reason
global_efficiency,coherence,beta2,155,24,linear_mixed_effects_subject_random_intercept_seizure_vc,wald_chi_square_window_terms,7.587728490295955,3.0,,0.055346664870170356,0.33207998922102216,,,
global_efficiency,coherence,delta,155,24,linear_mixed_effects_subject_random_intercept_seizure_vc,wald_chi_square_window_terms,21.112260205826196,3.0,,9.97732251748318e-05,0.01436734442517578,,,
global_efficiency,coherence,theta,155,24,linear_mixed_effects_subject_random_intercept_seizure_vc,wald_chi_square_window_terms,9.46309736107338,3.0,,0.023727200529302217,0.259282814268171,,,
global_efficiency,wpli,alpha1,155,24,linear_mixed_effects_subject_random_intercept_seizure_vc,wald_chi_square_window_terms,4.408472724353334,3.0,,0.22060105355632856,0.5690846349834214,,,
global_efficiency,wpli,alpha2,155,24,linear_mixed_effects_subject_random_intercept_seizure_vc,wald_chi_square_window_terms,3.576893991201505,3.0,,0.3109253102596316,0.6008903696598039,,,
global_efficiency,wpli,beta1,155,24,linear_mixed_effects_subject_random_intercept_seizure_vc,wald_chi_square_window_terms,4.157824835213537,3.0,,0.24491848600418403,0.5842678213357687,,,
global_efficiency,wpli,beta2,155,24,linear_mixed_effects_subject_random_intercept_seizure_vc,wald_chi_square_window_terms,5.209446203718858,3.0,,0.15708739799088559,0.5141042116065346,,,
global_efficiency,wpli,delta,155,24,linear_mixed_effects_subject_random_intercept_seizure_vc,wald_chi_square_window_terms,3.379485407686308,3.0,,0.3367320866524261,0.6215222804911742,,,
global_efficiency,wpli,theta,155,24,linear_mixed_effects_subject_random_intercept_seizure_vc,wald_chi_square_window_terms,6.794083266269203,3.0,,0.07875884043522034,0.38124221721225643,,,
mean_betweenness_centrality,aec,alpha1,155,24,linear_mixed_effects_subject_random_intercept_seizure_vc,wald_chi_square_window_terms,0.18842062986322827,3.0,,0.9794365967350108,0.9862858037051857,,,
mean_betweenness_centrality,aec,alpha2,155,24,linear_mixed_effects_subject_random_intercept_seizure_vc,wald_chi_square_window_terms,2.3546940101295704,3.0,,0.5021240318769273,0.7132127702964638,,,
mean_betweenness_centrality,aec,beta1,155,24,linear_mixed_effects_subject_random_intercept_seizure_vc,wald_chi_square_window_terms,5.2902954153908235,3.0,,0.15173334784870218,0.5141042116065346,,,
mean_betweenness_centrality,aec,beta2,155,24,linear_mixed_effects_subject_random_intercept_seizure_vc,wald_chi_square_window_terms,0.3953581205160703,3.0,,0.9411997205800751,0.9612252465498639,,,
mean_betweenness_centrality,aec,delta,155,24,linear_mixed_effects_subject_random_intercept_seizure_vc,wald_chi_square_window_terms,0.5537078322693421,3.0,,0.9069431595252082,0.9395670141843885,,,
mean_betweenness_centrality,aec,theta,155,24,linear_mixed_effects_subject_random_intercept_seizure_vc,wald_chi_square_window_terms,8.544471704645607,3.0,,0.03600248494012617,0.27286093849358783,,,
mean_betweenness_centrality,coherence,alpha1,155,24,linear_mixed_effects_subject_random_intercept_seizure_vc,wald_chi_square_window_terms,2.6882633748356732,3.0,,0.44222549697269287,0.6770298874729298,,,
mean_betweenness_centrality,coherence,alpha2,155,24,linear_mixed_effects_subject_random_intercept_seizure_vc,wald_chi_square_window_terms,1.3328147766298495,3.0,,0.7213560225237576,0.8655765730265133,,,
mean_betweenness_centrality,coherence,beta1,155,24,linear_mixed_effects_subject_random_intercept_seizure_vc,wald_chi_square_window_terms,2.7452158822692807,3.0,,0.43259793567962224,0.6770298874729298,,,
mean_betweenness_centrality,coherence,beta2,155,24,linear_mixed_effects_subject_random_intercept_seizure_vc,wald_chi_square_window_terms,9.762753192047208,3.0,,0.02069430375653488,0.25373789873267977,,,
