metric,method,band,contrast,n_subjects,mean_baseline,mean_comparison,mean_difference,t,t_df,t_p_uncorrected,t_p_fdr_bh,cohen_dz,wilcoxon_statistic,wilcoxon_p_uncorrected,wilcoxon_p_fdr_bh,omnibus_p_fdr_bh,interpret_posthoc,skip_reason
characteristic_path_length,aec,alpha2,Baseline_vs_T2,24,5.996925966670022,5.873752629039507,-0.12317333763051556,-1.0588553947263448,23.0,0.3006598300927953,0.9702209526314701,-0.2161379523727346,123.0,0.45587432384490967,0.9505211614793346,0.9346311268387354,False,
characteristic_path_length,aec,beta1,Baseline_vs_T0,24,10.044492381537578,10.570362368762588,0.5258699872250099,2.2148308200952482,23.0,0.03695414944855012,0.7389722819997397,0.4521004479852804,81.0,0.04906117916107178,0.6055551256452288,0.26334133545858984,False,
characteristic_path_length,aec,beta1,Baseline_vs_T1,24,10.044492381537578,10.539177555293762,0.49468517375618254,2.7146068044482576,23.0,0.012361949233007754,0.7389722819997397,0.5541167935987856,66.0,0.015044927597045898,0.5452057765080378,0.26334133545858984,False,
characteristic_path_length,aec,beta1,Baseline_vs_T2,24,10.044492381537578,10.005791538089786,-0.038700843447792566,-0.13955285379898294,23.0,0.8902281199498393,0.996872804237865,-0.028486106996394096,129.0,0.5645889043807983,0.9512063256145393,0.26334133545858984,False,
characteristic_path_length,aec,beta2,Baseline_vs_T0,24,11.56888162854822,11.974994126055714,0.4061124975074913,1.2113341459081066,23.0,0.2380667980040927,0.9702209526314701,0.24726254712374407,100.0,0.15998530387878418,0.8442323514730623,0.8574157270327646,False,
characteristic_path_length,aec,beta2,Baseline_vs_T1,24,11.56888162854822,11.903258185199917,0.33437655665169275,1.1076684544814142,23.0,0.27945488201663227,0.9702209526314701,0.2261018764713933,112.0,0.28966712951660156,0.9214962838401257,0.8574157270327646,False,
characteristic_path_length,aec,beta2,Baseline_vs_T2,24,11.56888162854822,11.336675314852002,-0.23220631369622222,-0.5099632194167144,23.0,0.614936281526446,0.996872804237865,-0.10409580626316077,149.0,0.9888126850128174,0.9934118137803188,0.8574157270327646,False,
characteristic_path_length,aec,delta,Baseline_vs_T0,24,4.228877644717994,4.293770695738211,0.06489305102021693,0.675452991990453,23.0,0.5061228169130256,0.9723109562562193,0.13787626463440195,138.0,0.746925950050354,0.9669384080536512,0.996861179388722,False,
characteristic_path_length,aec,delta,Baseline_vs_T1,24,4.228877644717994,4.252224872798545,0.02334722808055112,0.20845199360387692,23.0,0.8367110372088773,0.996872804237865,0.04255008501628343,135.0,0.6839864253997803,0.9669384080536512,0.996861179388722,False,
characteristic_path_length,aec,delta,Baseline_vs_T2,24,4.228877644717994,4.276960438358322,0.04808279364032666,0.35507374514425966,23.0,0.7257697522102778,0.996872804237865,0.07247912472187269,134.0,0.6634435653686523,0.9669384080536512,0.996861179388722,False,
characteristic_path_length,aec,theta,Baseline_vs_T0,24,6.258505457491445,5.918040341535111,-0.3404651159563326,-1.6092984899840765,23.0,0.12119232257146256,0.8310405404656145,-0.3284966786910377,90.0,0.08937323093414307,0.8043590784072876,0.8011377443826944,False,
characteristic_path_length,aec,theta,Baseline_vs_T1,24,6.258505457491445,6.24782408830443,-0.010681369187014678,-0.055538186342178254,23.0,0.9561893460386743,0.996872804237865,-0.011336684814828869,145.0,0.899570107460022,0.9689085605370737,0.8011377443826944,False,
characteristic_path_length,aec,theta,Baseline_vs_T2,24,6.258505457491445,6.162377328729128,-0.09612812876231658,-0.4334207143264271,23.0,0.6687470545973423,0.996872804237865,-0.0884716328376951,146.0,0.9218088388442993,0.9689085605370737,0.8011377443826944,False,
characteristic_path_length,coherence,alpha1,Baseline_vs_T0,24,4.9575201091167,4.9641915442962805,0.006671435179580613,0.06372926444415974,23.0,0.9497364446062005,0.996872804237865,0.013008681630923833,111.0,0.27681541442871094,0.9214962838401257,0.9346311268387354,False,
characteristic_path_length,coherence,alpha1,Baseline_vs_T1,24,4.9575201091167,5.008425879524689,0.05090577040798916,0.46306085121590285,23.0,0.647672421889775,0.996872804237865,0.09452190044481679,96.0,0.128027081489563,0.8131685256958008,0.9346311268387354,False,
characteristic_path_length,coherence,alpha1,Baseline_vs_T2,24,4.9575201091167,5.093567723562412,0.13604761444571126,1.3854487342063373,23.0,0.1792052256378819,0.9107842055948823,0.28280353863253005,84.0,0.060427069664001465,0.6869603709170693,0.9346311268387354,False,
characteristic_path_length,coherence,alpha2,Baseline_vs_T0,24,5.120481004348506,5.1300928999100375,0.009611895561531655,0.10418497081190466,23.0,0.9179257492220759,0.996872804237865,0.02126666811299377,142.0,0.8333734273910522,0.9669384080536512,0.996861179388722,False,
characteristic_path_length,coherence,alpha2,Baseline_vs_T1,24,5.120481004348506,5.164664286914067,0.04418328256556159,0.4719307282690788,23.0,0.6414228564435417,0.996872804237865,0.09633245651660864,150.0,1.0,1.0,0.996861179388722,False,
characteristic_path_length,coherence,alpha2,Baseline_vs_T2,24,5.120481004348506,5.108361517602695,-0.012119486745810315,-0.12857524614603968,23.0,0.8988114439936876,0.996872804237865,-0.026245312217545547,132.0,0.6230943202972412,0.9669384080536512,0.996861179388722,False,
characteristic_path_length,coherence,beta1,Baseline_vs_T0,24,5.2634518350717565,5.203045613246513,-0.060406221825244834,-0.8701708377885724,23.0,0.3931984478618634,0.9723109562562193,-0.1776228784693461,140.0,0.7898378372192383,0.9669384080536512,0.6238959104265877,False,
characteristic_path_length,coherence,beta1,Baseline_vs_T1,24,5.2634518350717565,5.391513697537454,0.1280618624656966,1.444682455610288,23.0,0.1620337609318987,0.9107842055948823,0.2948945713830179,97.0,0.1355280876159668,0.8131685256958008,0.6238959104265877,False,
characteristic_path_length,coherence,beta1,Baseline_vs_T2,24,5.2634518350717565,5.3021233871981295,0.03867155212637178,0.7253361610483647,23.0,0.47556170139423193,0.9723109562562193,0.14805862387980806,138.0,0.746925950050354,0.9669384080536512,0.6238959104265877,False,
characteristic_path_length,coherence,beta2,Baseline_vs_T0,24,5.389463269916907,5.490750858445558,0.10128758852865107,1.4542957670359151,23.0,0.1593758910605458,0.9107842055948823,0.2968568803606223,94.0,0.11396121978759766,0.8131685256958008,,False,
characteristic_path_length,coherence,beta2,Baseline_vs_T1,24,5.389463269916907,5.55306936923754,0.1636060993206328,1.4458609294873315,23.0,0.16170603246405918,0.9107842055948823,0.2951351263558475,112.0,0.28966712951660156,0.9214962838401257,,False,
characteristic_path_length,coherence,beta2,Baseline_vs_T2,24,5.389463269916907,5.564960661855449,0.17549739193854275,2.0120719921266486,23.0,0.05606825797737216,0.7389722819997397,0.4107124755379617,84.0,0.060427069664001465,0.6869603709170693,,False,
characteristic_path_length,coherence,delta,Baseline_vs_T0,24,4.318667735413835,4.358403870810528,0.03973613539669307,0.4051182879877227,23.0,0.6891340269441698,0.996872804237865,0.08269442425331737,142.0,0.8333734273910522,0.9669384080536512,0.49835377601473946,False,
characteristic_path_length,coherence,delta,Baseline_vs_T1,24,4.318667735413835,4.585616266051216,0.2669485306373811,2.1461584418904778,23.0,0.04264242081320197,0.7389722819997397,0.43808275748318776,103.0,0.18750131130218506,0.8442323514730623,0.49835377601473946,False,
characteristic_path_length,coherence,delta,Baseline_vs_T2,24,4.318667735413835,4.465694127334451,0.14702639192061492,1.078902920192588,23.0,0.29181621216896353,0.9702209526314701,0.2202301363725468,138.0,0.746925950050354,0.9669384080536512,0.49835377601473946,False,
characteristic_path_length,coherence,theta,Baseline_vs_T0,24,4.7734066382544755,4.633269563644308,-0.14013707461016603,-1.0630912168739652,23.0,0.29877556764355173,0.9702209526314701,-0.2170025859479721,131.0,0.6033114194869995,0.9512063256145393,0.26334133545858984,False,
characteristic_path_length,coherence,theta,Baseline_vs_T1,24,4.7734066382544755,4.7901601151192965,0.016753476864821742,0.16965620082600094,23.0,0.866763913274781,0.996872804237865,0.03463092697690435,124.0,0.47316575050354004,0.9505211614793346,0.26334133545858984,False,
characteristic_path_length,coherence,theta,Baseline_vs_T2,24,4.7734066382544755,4.952205993981464,0.17879935572698882,1.7382864191401706,23.0,0.09553223384024416,0.7921147536740261,0.3548262294752623,94.0,0.11396121978759766,0.8131685256958008,0.26334133545858984,False,
characteristic_path_length,wpli,alpha1,Baseline_vs_T0,24,7.156596177410369,6.921196411255952,-0.23539976615441713,-0.8617766749133484,23.0,0.3977064945786348,0.9723109562562193,-0.17590942714750338,102.0,0.1779801845550537,0.8442323514730623,0.996861179388722,False,
characteristic_path_length,wpli,alpha1,Baseline_vs_T1,24,7.156596177410369,6.968289313932831,-0.1883068634775377,-0.7785234551175493,23.0,0.44419666307091543,0.9723109562562193,-0.15891543481887976,121.0,0.4223414659500122,0.9505211614793346,0.996861179388722,False,
characteristic_path_length,wpli,alpha1,Baseline_vs_T2,24,7.156596177410369,7.034028352992531,-0.12256782441783835,-0.45262034144863816,23.0,0.655062673333477,0.996872804237865,-0.09239074031278825,140.0,0.7898378372192383,0.9669384080536512,0.996861179388722,False,
characteristic_path_length,wpli,alpha2,Baseline_vs_T0,24,7.883170891882699,7.911968724086807,0.02879783220410818,0.08446720419143294,23.0,0.933415903746306,0.996872804237865,0.01724179585570727,141.0,0.8115357160568237,0.9669384080536512,0.996861179388722,False,
characteristic_path_length,wpli,alpha2,Baseline_vs_T1,24,7.883170891882699,7.936950432798682,0.05377954091598288,0.20088701433790787,23.0,0.8425528091827236,0.996872804237865,0.041005890089920206,127.0,0.5270590782165527,0.9505211614793346,0.996861179388722,False,
characteristic_path_length,wpli,alpha2,Baseline_vs_T2,24,7.883170891882699,7.844651834334226,-0.03851905754847268,-0.13504361332940457,23.0,0.8937522696564479,0.996872804237865,-0.02756566213989618,143.0,0.8553357124328613,0.9669384080536512,0.996861179388722,False,
characteristic_path_length,wpli,beta1,Baseline_vs_T0,24,9.766428099036814,9.464159502411654,-0.3022685966251573,-0.7318986000071515,23.0,0.4716229263588684,0.9723109562562193,-0.14939817612290715,113.0,0.30289924144744873,0.9214962838401257,0.9346311268387354,False,
characteristic_path_length,wpli,beta1,Baseline_vs_T1,24,9.766428099036814,9.900452342196628,0.13402424315981643,0.29394319529866436,23.0,0.7714376201344941,0.996872804237865,0.060000903487082584,140.0,0.7898378372192383,0.9669384080536512,0.9346311268387354,False,
characteristic_path_length,wpli,beta1,Baseline_vs_T2,24,9.766428099036814,9.483900574874873,-0.2825275241619396,-0.7595275858133793,23.0,0.4552518787142405,0.9723109562562193,-0.15503791923422858,133.0,0.6431422233581543,0.9669384080536512,0.9346311268387354,False,
characteristic_path_length,wpli,beta2,Baseline_vs_T0,24,9.604751605228062,9.808324982140311,0.2035733769122489,0.7566447482550047,23.0,0.45694396376509694,0.9723109562562193,0.15444946248178285,121.0,0.4223414659500122,0.9505211614793346,0.9346311268387354,False,
characteristic_path_length,wpli,beta2,Baseline_vs_T1,24,9.604751605228062,9.986158337031577,0.3814067318035157,0.8628492242746968,23.0,0.39712864199729053,0.9723109562562193,0.17612836036910767,120.0,0.40611207485198975,0.9505211614793346,0.9346311268387354,False,
