metric,method,band,contrast,n_pairs,n_subjects,mean_baseline,mean_comparison,mean_difference,t,t_df,t_p_uncorrected,t_p_fdr_bh,cohen_dz,wilcoxon_statistic,wilcoxon_p_uncorrected,wilcoxon_p_fdr_bh,omnibus_p_fdr_bh,interpret_posthoc,skip_reason
assortativity,wpli,alpha1,Baseline_vs_T2,155,24,-0.17295851823356986,-0.17552847387007747,-0.002569955636507616,-0.14310631812426367,154.0,0.8863932897672994,0.9768139687654421,-0.01149457608054786,5857.0,0.7369782827567195,0.8968299102842334,0.739414909353474,False,
assortativity,wpli,alpha2,Baseline_vs_T0,155,24,-0.1866919555335748,-0.1643009820032276,0.022390973530347164,1.3678192446246882,154.0,0.17336134030235986,0.5991367920849557,0.1098658855727365,5353.0,0.21636875181357496,0.5787387362295833,0.38226341563543,False,
assortativity,wpli,alpha2,Baseline_vs_T1,155,24,-0.1866919555335748,-0.20766461344538784,-0.02097265791181306,-1.266761465227151,154.0,0.20715310583541457,0.6258051868594342,-0.10174872939792985,5119.0,0.09807121834456466,0.44867054490197567,0.38226341563543,False,
assortativity,wpli,alpha2,Baseline_vs_T2,155,24,-0.1866919555335748,-0.19345599477180528,-0.0067640392382304826,-0.3935774353223808,154.0,0.6944374151655264,0.8980351570182,-0.03161290034708094,5721.0,0.5627117504466095,0.8258052346514569,0.38226341563543,False,
assortativity,wpli,beta1,Baseline_vs_T0,155,24,-0.21077140352031876,-0.1786394248553468,0.03213197866497195,1.789272155220985,154.0,0.07553636589975939,0.4293646061670533,0.14371779797405274,5128.0,0.10138022179879672,0.44867054490197567,0.259282814268171,False,
assortativity,wpli,beta1,Baseline_vs_T1,155,24,-0.21077140352031876,-0.16133738141387427,0.0494340221064445,2.769810940313613,154.0,0.006299024958209083,0.288817611864498,0.22247656846654992,4547.0,0.007447516914985717,0.3469167600228548,0.259282814268171,False,
assortativity,wpli,beta1,Baseline_vs_T2,155,24,-0.21077140352031876,-0.18448983582437034,0.026281567695948416,1.584401230641642,154.0,0.1151538277779745,0.49841419441029094,0.1272621693188273,4936.0,0.04756859102998798,0.3586663761222973,0.259282814268171,False,
assortativity,wpli,beta2,Baseline_vs_T0,155,24,-0.18276731403125043,-0.18110127410495347,0.0016660399262969736,0.08982478818064635,154.0,0.9285431672280567,0.977443298599914,0.007214900608126788,6035.0,0.9857467389544928,0.9900224466120051,0.6770298874729298,False,
assortativity,wpli,beta2,Baseline_vs_T1,155,24,-0.18276731403125043,-0.16626258574048006,0.016504728290770355,0.944017190435662,154.0,0.3466395515673932,0.6993248101947163,0.07582528541741548,5513.0,0.3419062843474141,0.6812334056688145,0.6770298874729298,False,
assortativity,wpli,beta2,Baseline_vs_T2,155,24,-0.18276731403125043,-0.19510411826065857,-0.012336804229408194,-0.6580824569618009,154.0,0.5114676962051479,0.8220701702837919,-0.05285845494433653,5722.0,0.563917926440231,0.8258052346514569,0.6770298874729298,False,
assortativity,wpli,delta,Baseline_vs_T0,155,24,-0.20522864009368444,-0.20829332870937034,-0.003064688615685884,-0.15526227542599003,154.0,0.876817872033764,0.9768139687654421,-0.012470966067153866,6005.0,0.9430324104896117,0.9737571447584864,0.9003189451995057,False,
assortativity,wpli,delta,Baseline_vs_T1,155,24,-0.20522864009368444,-0.22236748753741273,-0.01713884744372833,-0.7898970480969377,154.0,0.4308024686485711,0.7534682852477033,-0.06344605768744872,5648.0,0.4781810632819069,0.7786549327334865,0.9003189451995057,False,
assortativity,wpli,delta,Baseline_vs_T2,155,24,-0.20522864009368444,-0.2074525610113042,-0.0022239209176197904,-0.1181967107497037,154.0,0.9060658233654942,0.977443298599914,-0.00949378826868598,5998.0,0.9330847445981144,0.9737571447584864,0.9003189451995057,False,
assortativity,wpli,theta,Baseline_vs_T0,155,24,-0.22441411277418416,-0.23263747939710294,-0.008223366622918775,-0.4918110095671884,154.0,0.6235532426455821,0.865255437534153,-0.03950321090514175,5576.0,0.4021107846176686,0.7178175989869124,0.876353775755543,False,
assortativity,wpli,theta,Baseline_vs_T1,155,24,-0.22441411277418416,-0.2143188003659485,0.010095312408235671,0.5637819565017876,154.0,0.5737226015441138,0.841566070440616,0.04528405647487037,5757.0,0.6068988278997878,0.845742882750672,0.876353775755543,False,
assortativity,wpli,theta,Baseline_vs_T2,155,24,-0.22441411277418416,-0.2258599166845132,-0.0014458039103290314,-0.08529596534499898,154.0,0.9321368886335005,0.977443298599914,-0.006851136804250089,6001.0,0.9373468417311125,0.9737571447584864,0.876353775755543,False,
characteristic_path_length,aec,alpha1,Baseline_vs_T0,155,24,4.375659881813989,4.3735283583914635,-0.0021315234225248903,-0.03634215263082589,154.0,0.9710566044594074,0.9893784271850566,-0.002919071944700415,5741.0,0.5870686505790419,0.8397803213580997,0.9428509799203584,False,
characteristic_path_length,aec,alpha1,Baseline_vs_T1,155,24,4.375659881813989,4.4072729638788894,0.0316130820649011,0.6354852834874912,154.0,0.526055128530705,0.8252056643427254,0.05104340629302369,5773.0,0.6270227710040633,0.8599169430912867,0.9428509799203584,False,
