metric,method,band,window,n,mean,std,median,min,max,sem,ci95_lower,ci95_upper
characteristic_path_length,coherence,delta,Baseline,155,4.441876481769698,0.9471821094076261,4.696881725085423,2.278491289863304,6.57356839043076,0.07607949782668467,4.291582342336617,4.592170621202778
characteristic_path_length,coherence,delta,T0,159,4.53750024013329,1.0331584038333854,4.684512220131359,1.9919154874801217,7.585157131291493,0.08193479104580931,4.37567148385939,4.699328996407189
characteristic_path_length,coherence,delta,T1,159,4.6106541114582935,0.9251427169575792,4.746953352197744,2.3477513958555485,7.780314754655555,0.07336858986988004,4.4657443912202295,4.7555638316963575
characteristic_path_length,coherence,delta,T2,159,4.59469883091298,0.9274173075761664,4.823817235843874,1.6060687128835824,6.739227741811115,0.07354897663957305,4.4494328301960735,4.739964831629887
characteristic_path_length,coherence,theta,Baseline,155,4.838887770150937,0.7895657893219706,4.947173860876865,2.5406557246413706,7.608958798594606,0.0634194503423565,4.713603403339826,4.964172136962048
characteristic_path_length,coherence,theta,T0,159,4.794595973839053,0.7957990700342206,4.883291509620068,2.375630238125858,6.930250408298081,0.0631109714403663,4.669945994446027,4.919245953232079
characteristic_path_length,coherence,theta,T1,159,4.859865327788375,0.7217164158412767,4.917841421962948,2.716299069043719,7.322653488696572,0.05723583480217399,4.746819284195543,4.972911371381207
characteristic_path_length,coherence,theta,T2,159,4.9436340681560775,0.6938470315958433,4.976911988160285,2.592242761752228,7.3944803156135075,0.05502564886529107,4.834953345286403,5.052314791025752
characteristic_path_length,wpli,alpha1,Baseline,155,7.307355077073906,2.407376196866215,7.71893307773628,2.09939139809635,11.568520899083843,0.19336510932627313,6.925364612720675,7.689345541427136
characteristic_path_length,wpli,alpha1,T0,159,6.9498969903944845,2.404860001512033,7.104119720659577,2.185592910723458,13.372771078242378,0.19071780376292563,6.573211768057271,7.326582212731698
characteristic_path_length,wpli,alpha1,T1,159,6.949856886693844,2.3900857363719723,7.0956239682568265,2.179701465000193,12.463061551600331,0.18954612832321108,6.575485831229402,7.324227942158286
characteristic_path_length,wpli,alpha1,T2,159,7.104991779327184,2.2798574012707764,7.239519804160707,2.139251846814497,12.842549410330324,0.18080445272890364,6.74788633803128,7.462097220623089
characteristic_path_length,wpli,alpha2,Baseline,155,7.864624271963269,3.210428741959288,7.731664325053228,2.048077835902763,15.121042916270246,0.2578678419605833,7.355209429567476,8.37403911435906
characteristic_path_length,wpli,alpha2,T0,159,8.062055854070318,3.4405022613631644,8.01463000466063,1.7722783148717949,17.060578410953617,0.2728495774040918,7.523152816696653,8.600958891443982
characteristic_path_length,wpli,alpha2,T1,159,7.795948696498646,3.1725586684365434,8.132062011065102,1.6970513197854131,16.18094495416633,0.25160026827874443,7.299015001129065,8.292882391868229
characteristic_path_length,wpli,alpha2,T2,159,7.728332151629581,3.1735889720726655,7.74325220843529,1.982731920287493,17.601232969343958,0.2516819766719842,7.231237074660237,8.225427228598925
characteristic_path_length,wpli,beta1,Baseline,155,9.452716255148482,4.123018047905509,9.04767683506508,2.373044899451391,18.91248436567821,0.33116877894915536,8.798496287074379,10.106936223222586
characteristic_path_length,wpli,beta1,T0,159,8.874721025999147,3.6093880776604075,8.635681010919512,2.7228508503000857,16.879823521039118,0.286243093846075,8.309364560475183,9.44007749152311
characteristic_path_length,wpli,beta1,T1,159,9.130496579819933,3.555175707637656,8.864852449105705,1.9976089668643404,17.28344321494443,0.2819437732448668,8.573631668333464,9.687361491306403
characteristic_path_length,wpli,beta1,T2,159,9.01441419832284,3.2766445061054186,8.984151920332653,2.709810971563817,18.141302528281813,0.2598548121401547,8.501177018808733,9.527651377836946
characteristic_path_length,wpli,beta2,Baseline,155,9.434307161283071,4.007320486304883,9.570203781987267,1.762787369545247,25.244356536076364,0.3218757271707043,8.79844550602185,10.070168816544292
characteristic_path_length,wpli,beta2,T0,159,9.436461260673155,3.4900972161730373,9.588639131882818,2.334221300771849,19.54543801041481,0.27678271315965075,8.889789918047786,9.983132603298525
characteristic_path_length,wpli,beta2,T1,159,9.515173034746088,3.351521754821769,9.179479395065902,2.734931362813395,18.811479849550988,0.2657929642230261,8.990207458126543,10.040138611365633
characteristic_path_length,wpli,beta2,T2,159,9.370768948983452,3.340681133452099,9.079046371550293,2.740954598536559,16.76740222348154,0.2649332470262874,8.84750139298396,9.894036504982944
characteristic_path_length,wpli,delta,Baseline,155,7.090834034689741,2.611686725755071,6.869680288071115,2.0731186499436176,13.255808429174728,0.20977572591645527,6.676424593234343,7.5052434761451385
characteristic_path_length,wpli,delta,T0,159,6.697937305118916,2.271207747508593,6.692030936368993,1.786525909074801,12.4671294519283,0.18011849056570237,6.3421867022537315,7.053687907984101
characteristic_path_length,wpli,delta,T1,159,6.511735108102617,2.236741195554255,6.575925555143163,1.877593178075053,14.081360767040932,0.17738511519753994,6.161383173258836,6.862087042946398
characteristic_path_length,wpli,delta,T2,159,6.528342270868753,2.0391107769208583,6.316211441985013,2.148471790111479,13.019851337044749,0.16171200350920434,6.208946174675335,6.8477383670621705
