metric,method,band,n_subjects_complete,model_type,test_name,statistic,df1,df2,p_uncorrected,p_fdr_bh,effect_size,skip_reason,fallback_reason
global_efficiency,coherence,delta,24,linear_mixed_effects_subject_random_intercept,wald_chi_square_window_terms,24.037221558596485,3.0,,2.4536972105124154e-05,0.0027481408757739053,,,
global_efficiency,coherence,theta,24,linear_mixed_effects_subject_random_intercept,wald_chi_square_window_terms,6.816364364459427,3.0,,0.07798698880332346,0.6238959104265877,,,
global_efficiency,wpli,alpha1,24,linear_mixed_effects_subject_random_intercept,wald_chi_square_window_terms,3.598597332840919,3.0,,0.30819771955090614,0.8754429249632198,,,
global_efficiency,wpli,alpha2,24,linear_mixed_effects_subject_random_intercept,wald_chi_square_window_terms,1.9050128288323631,3.0,,0.5923537311189084,0.9346311268387354,,,
global_efficiency,wpli,beta1,24,linear_mixed_effects_subject_random_intercept,wald_chi_square_window_terms,1.914034609183339,3.0,,0.5904394006212159,0.9346311268387354,,,
global_efficiency,wpli,beta2,24,linear_mixed_effects_subject_random_intercept,wald_chi_square_window_terms,4.918223582240434,3.0,,0.17788409067253522,0.8301257564718311,,,
global_efficiency,wpli,delta,24,linear_mixed_effects_subject_random_intercept,wald_chi_square_window_terms,0.11043651196198576,3.0,,0.9905562449748782,0.996861179388722,,,
global_efficiency,wpli,theta,24,linear_mixed_effects_subject_random_intercept,wald_chi_square_window_terms,3.5555257691933275,3.0,,0.3136316979601371,0.8754429249632198,,,
mean_betweenness_centrality,aec,alpha1,24,pingouin_repeated_measures_anova,one_way_rm_anova_window,0.31944329421781587,3.0,,,,0.013698581487878982,,mixed model failed: Singular matrix
mean_betweenness_centrality,aec,alpha2,24,pingouin_repeated_measures_anova,one_way_rm_anova_window,1.3658530655158658,3.0,,,,0.05605603308217062,,mixed model failed: Singular matrix
mean_betweenness_centrality,aec,beta1,24,linear_mixed_effects_subject_random_intercept,wald_chi_square_window_terms,3.502217424258828,3.0,,0.3204746421740358,0.8754429249632198,,,
mean_betweenness_centrality,aec,beta2,24,linear_mixed_effects_subject_random_intercept,wald_chi_square_window_terms,1.0424482269494062,3.0,,0.790982238819642,0.996861179388722,,,
mean_betweenness_centrality,aec,delta,24,linear_mixed_effects_subject_random_intercept,wald_chi_square_window_terms,0.2157012880047133,3.0,,0.9750156364294186,0.996861179388722,,,
mean_betweenness_centrality,aec,theta,24,pingouin_repeated_measures_anova,one_way_rm_anova_window,2.3241145941217005,3.0,,,,0.09177476217317308,,mixed model failed: Singular matrix
mean_betweenness_centrality,coherence,alpha1,24,pingouin_repeated_measures_anova,one_way_rm_anova_window,1.1403757476298728,3.0,,,,0.04723935366838008,,mixed model failed: Singular matrix
mean_betweenness_centrality,coherence,alpha2,24,linear_mixed_effects_subject_random_intercept,wald_chi_square_window_terms,0.3089790900038317,3.0,,0.9583310046555837,0.996861179388722,,,
mean_betweenness_centrality,coherence,beta1,24,pingouin_repeated_measures_anova,one_way_rm_anova_window,2.628443643969548,3.0,,,,0.10255962790733213,,mixed model failed: Singular matrix
mean_betweenness_centrality,coherence,beta2,24,pingouin_repeated_measures_anova,one_way_rm_anova_window,1.8006376353919,3.0,,,,0.07260448952418422,,mixed model failed: Singular matrix
mean_betweenness_centrality,coherence,delta,24,linear_mixed_effects_subject_random_intercept,wald_chi_square_window_terms,11.307484775587724,3.0,,0.010174249307230555,0.26334133545858984,,,
mean_betweenness_centrality,coherence,theta,24,linear_mixed_effects_subject_random_intercept,wald_chi_square_window_terms,9.656038698917847,3.0,,0.021728020130353794,0.26334133545858984,,,
mean_betweenness_centrality,wpli,alpha1,24,pingouin_repeated_measures_anova,one_way_rm_anova_window,0.3961387752754343,3.0,,,,0.0169318014002407,,mixed model failed: Singular matrix
mean_betweenness_centrality,wpli,alpha2,24,linear_mixed_effects_subject_random_intercept,wald_chi_square_window_terms,0.43858538419212256,3.0,,0.9321612258856179,0.996861179388722,,,
mean_betweenness_centrality,wpli,beta1,24,pingouin_repeated_measures_anova,one_way_rm_anova_window,1.7732531880000568,3.0,,,,0.0715793430335183,,mixed model failed: Singular matrix
mean_betweenness_centrality,wpli,beta2,24,pingouin_repeated_measures_anova,one_way_rm_anova_window,2.2026883599408267,3.0,,,,0.08739894444919441,,mixed model failed: Singular matrix
mean_betweenness_centrality,wpli,delta,24,linear_mixed_effects_subject_random_intercept,wald_chi_square_window_terms,3.238262734034911,3.0,,0.35632816561052966,0.8868612121862072,,,
mean_betweenness_centrality,wpli,theta,24,linear_mixed_effects_subject_random_intercept,wald_chi_square_window_terms,3.4309367676030234,3.0,,0.3298304727491895,0.8795479273311719,,,
mean_connectivity,aec,alpha1,24,linear_mixed_effects_subject_random_intercept,wald_chi_square_window_terms,0.18042568041926998,3.0,,0.9806856333871047,0.996861179388722,,,
mean_connectivity,aec,alpha2,24,linear_mixed_effects_subject_random_intercept,wald_chi_square_window_terms,1.5646492845325337,3.0,,0.6674316497237145,0.9576837692929063,,,
mean_connectivity,aec,beta1,24,linear_mixed_effects_subject_random_intercept,wald_chi_square_window_terms,2.4356964836398425,3.0,,0.4870243259433753,0.9346311268387354,,,
mean_connectivity,aec,beta2,24,linear_mixed_effects_subject_random_intercept,wald_chi_square_window_terms,4.54344802190875,3.0,,0.20844740976167037,0.8574157270327646,,,
mean_connectivity,aec,delta,24,linear_mixed_effects_subject_random_intercept,wald_chi_square_window_terms,0.5927472868265102,3.0,,0.8980906907845768,0.996861179388722,,,
mean_connectivity,aec,theta,24,linear_mixed_effects_subject_random_intercept,wald_chi_square_window_terms,0.6484107083998155,3.0,,0.8852657933064111,0.996861179388722,,,
mean_connectivity,coherence,alpha1,24,linear_mixed_effects_subject_random_intercept,wald_chi_square_window_terms,0.052381115651846236,3.0,,0.996861179388722,0.996861179388722,,,
mean_connectivity,coherence,alpha2,24,linear_mixed_effects_subject_random_intercept,wald_chi_square_window_terms,1.1301604988346714,3.0,,0.7697986568659352,0.996861179388722,,,
mean_connectivity,coherence,beta1,24,linear_mixed_effects_subject_random_intercept,wald_chi_square_window_terms,2.1126584773573955,3.0,,0.54935611524994,0.9346311268387354,,,
mean_connectivity,coherence,beta2,24,linear_mixed_effects_subject_random_intercept,wald_chi_square_window_terms,3.7590575924685337,3.0,,0.28868447123980967,0.8754429249632198,,,
mean_connectivity,coherence,delta,24,linear_mixed_effects_subject_random_intercept,wald_chi_square_window_terms,0.23634857832046952,3.0,,0.9715184586865409,0.996861179388722,,,
mean_connectivity,coherence,theta,24,linear_mixed_effects_subject_random_intercept,wald_chi_square_window_terms,1.0214983459738667,3.0,,0.7960501847703156,0.996861179388722,,,
mean_connectivity,wpli,alpha1,24,linear_mixed_effects_subject_random_intercept,wald_chi_square_window_terms,2.914314975584311,3.0,,0.4050256631930288,0.9346311268387354,,,
mean_connectivity,wpli,alpha2,24,linear_mixed_effects_subject_random_intercept,wald_chi_square_window_terms,0.8759776026537864,3.0,,0.8312207520770013,0.996861179388722,,,
mean_connectivity,wpli,beta1,24,linear_mixed_effects_subject_random_intercept,wald_chi_square_window_terms,2.729542569462958,3.0,,0.4352301676239124,0.9346311268387354,,,
mean_connectivity,wpli,beta2,24,linear_mixed_effects_subject_random_intercept,wald_chi_square_window_terms,11.749959185022362,3.0,,0.008290670713120181,0.26334133545858984,,,
mean_connectivity,wpli,delta,24,linear_mixed_effects_subject_random_intercept,wald_chi_square_window_terms,0.08104027020715712,3.0,,0.9940112525132131,0.996861179388722,,,
mean_connectivity,wpli,theta,24,linear_mixed_effects_subject_random_intercept,wald_chi_square_window_terms,2.538086642698121,3.0,,0.4684472789762161,0.9346311268387354,,,
modularity,aec,alpha1,24,linear_mixed_effects_subject_random_intercept,wald_chi_square_window_terms,1.7850721583980795,3.0,,0.6181887768972996,0.9476113964414254,,,
modularity,aec,alpha2,24,linear_mixed_effects_subject_random_intercept,wald_chi_square_window_terms,1.9610191268768864,3.0,,0.5805366211108447,0.9346311268387354,,,
modularity,aec,beta1,24,linear_mixed_effects_subject_random_intercept,wald_chi_square_window_terms,2.374855797831949,3.0,,0.49833236987677487,0.9346311268387354,,,
modularity,aec,beta2,24,linear_mixed_effects_subject_random_intercept,wald_chi_square_window_terms,6.118633459227959,3.0,,0.10597895840827376,0.680163046486138,,,
modularity,aec,delta,24,linear_mixed_effects_subject_random_intercept,wald_chi_square_window_terms,0.46764154157290144,3.0,,0.925940690831803,0.996861179388722,,,
